id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,lat,lon,tweet_created,tweet_location,user_timezone
56,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,-118.385912,murphicus,-118.385912,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,40.74804263,-118.385912,2/23/2015 15:05,"new york, new york",Eastern Time (US & Canada)
57,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,VinnieFerra,-118.385912,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,40.74804263,-118.385912,2/23/2015 15:04,"brooklyn, Ny",Pacific Time (US & Canada)
58,positive,0.635,-118.385912,-118.385912,Virgin America,-118.385912,KevinDemsi,-118.385912,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,40.74804263,-118.385912,2/23/2015 14:40,"Bali, Republic of Indonesia",Kuala Lumpur
59,neutral,0.7007,-118.385912,-118.385912,Virgin America,-118.385912,giffgaffman,-118.385912,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,40.74804263,-118.385912,2/23/2015 14:40,"UK, USA. ",-118.385912
60,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,HanlonBrothers,-118.385912,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,40.74804263,-118.385912,2/23/2015 14:37,"Gold Coast, Australia",Brisbane
61,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,emilybg78,-118.385912,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,40.74804263,-118.385912,2/23/2015 14:36,"Stockton, CA",Arizona
62,negative,1,Customer Service Issue,1,Virgin America,-118.385912,rachie1126,-118.385912,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,40.74804263,-118.385912,2/23/2015 14:35,"New York, NY",Eastern Time (US & Canada)
63,neutral,0.6858,-118.385912,-118.385912,Virgin America,-118.385912,adawson66,-118.385912,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",33.57963333,-117.7302477,2/23/2015 14:30,-118.385912,-118.385912
64,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,SocialPLC,-118.385912,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",40.74804263,-118.385912,2/23/2015 14:26,"Twin Cities, Minn.",Eastern Time (US & Canada)
65,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,jeffreymace01,-118.385912,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,40.74804263,-118.385912,2/23/2015 14:25,-118.385912,-118.385912
66,neutral,0.6814,-118.385912,0,Virgin America,-118.385912,1stcrown,-118.385912,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,40.74804263,-118.385912,2/23/2015 14:09,USA,Central Time (US & Canada)
67,negative,1,Customer Service Issue,1,Virgin America,-118.385912,onerockgypsy,-118.385912,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,40.74804263,-118.385912,2/23/2015 13:46,next city,Pacific Time (US & Canada)
68,negative,1,Late Flight,0.6789,Virgin America,-118.385912,noelduan,-118.385912,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",40.74804263,-118.385912,2/23/2015 13:35,SF ↔ NY,Eastern Time (US & Canada)
69,positive,0.6922,-118.385912,-118.385912,Virgin America,-118.385912,Travelzoo,-118.385912,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,40.74804263,-118.385912,2/23/2015 13:30,"New York, NY",Pacific Time (US & Canada)
70,negative,1,Lost Luggage,1,Virgin America,-118.385912,gianagon,-118.385912,0,@VirginAmerica everything was fine until you lost my bag,40.6413712,-73.78311558,2/23/2015 13:08,New York + Panama,Eastern Time (US & Canada)
71,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,bxchen,-118.385912,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,40.74804263,-118.385912,2/23/2015 12:47,"San Francisco, CA",Eastern Time (US & Canada)
72,neutral,0.6492,-118.385912,0,Virgin America,-118.385912,seimatrun,-118.385912,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,40.74804263,-118.385912,2/23/2015 12:00,Los Angeles,-118.385912
73,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,jamied7,-118.385912,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",40.74804263,-118.385912,2/23/2015 11:56,"London, England",London
74,negative,1,Flight Attendant Complaints,0.3516,Virgin America,-118.385912,seimatrun,-118.385912,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,40.74804263,-118.385912,2/23/2015 11:46,Los Angeles,-118.385912
75,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,mrmichaellay,-118.385912,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",36.08457854,-115.1378014,2/23/2015 11:32,Floridian from Cincinnati ,Eastern Time (US & Canada)
76,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,TaylorLumsden,-118.385912,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,40.74804263,-118.385912,2/23/2015 11:28,"Dallas, Texas",Mountain Time (US & Canada)
77,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,campusmoviefest,-118.385912,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",40.74804263,-118.385912,2/23/2015 11:24,USA,Eastern Time (US & Canada)
78,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,TaylorLumsden,-118.385912,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,40.74804263,-118.385912,2/23/2015 11:22,"Dallas, Texas",Mountain Time (US & Canada)
79,negative,1,Customer Service Issue,1,Virgin America,-118.385912,meme_meng,-118.385912,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,40.74804263,-118.385912,2/23/2015 11:02,-118.385912,-118.385912
80,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,kyle_romanoff,-118.385912,0,@VirginAmerica what happened to Doom?!,40.74804263,-118.385912,2/23/2015 10:58,-118.385912,-118.385912
81,negative,1,Customer Service Issue,1,Virgin America,-118.385912,GunsNDip,-118.385912,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,40.74804263,-118.385912,2/23/2015 10:56,-118.385912,Pacific Time (US & Canada)
82,positive,1,-118.385912,-118.385912,Virgin America,-118.385912,artisticwritr87,-118.385912,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,40.74804263,-118.385912,2/23/2015 10:56,"Seattle, WA",Pacific Time (US & Canada)
83,negative,0.6792,Late Flight,0.3477,Virgin America,-118.385912,arieldaie,-118.385912,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,40.74804263,-118.385912,2/23/2015 10:54,Los Angeles,-118.385912
84,negative,1,Can't Tell,1,Virgin America,-118.385912,GunsNDip,-118.385912,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,40.74804263,-118.385912,2/23/2015 10:54,-118.385912,Pacific Time (US & Canada)
85,negative,1,Can't Tell,1,Virgin America,-118.385912,GunsNDip,-118.385912,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,40.74804263,-118.385912,2/23/2015 10:38,-118.385912,Pacific Time (US & Canada)
86,negative,1,Flight Booking Problems,1,Virgin America,-118.385912,jsatk,-118.385912,0,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,0,0,2/23/2015 10:29,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
87,neutral,0.6705,-118.385912,0,Virgin America,-118.385912,serenaklal,-118.385912,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,40.74804263,-118.385912,2/23/2015 10:15,Chicago,Eastern Time (US & Canada)
88,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,openambit1,-118.385912,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,40.74804263,-118.385912,2/23/2015 10:09,-118.385912,-118.385912
89,neutral,0.6545,-118.385912,0,Virgin America,-118.385912,cabowine,-118.385912,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,40.74804263,-118.385912,2/23/2015 10:04,"Los Cabos,Mexico",Arizona
90,negative,1,Can't Tell,0.6513,Virgin America,-118.385912,MaryAnnTaylorT,-118.385912,0,@VirginAmerica Why is the site down?  When will it be back up?,40.74804263,-118.385912,2/23/2015 9:57,"New York, NY",Arizona
91,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,RamotControl,-118.385912,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",40.74804263,-118.385912,2/23/2015 9:45,-118.385912,Pacific Time (US & Canada)
92,neutral,0.6639,-118.385912,0,Virgin America,-118.385912,losermelon,-118.385912,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",40.74804263,-118.385912,2/23/2015 9:35,-118.385912,-118.385912
93,negative,1,Cancelled Flight,1,Virgin America,-118.385912,AlisonK33774854,-118.385912,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,40.74804263,-118.385912,2/23/2015 9:29,-118.385912,-118.385912
94,negative,1,Late Flight,1,Virgin America,-118.385912,GunsNDip,-118.385912,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",40.74804263,-118.385912,2/23/2015 9:28,-118.385912,Pacific Time (US & Canada)
95,neutral,0.6765,-118.385912,0,Virgin America,-118.385912,yazdanagh,-118.385912,0,@VirginAmerica why is flight 345 redirected?,40.74804263,-118.385912,2/23/2015 9:26,-118.385912,-118.385912
96,negative,1,Customer Service Issue,0.6863,Virgin America,-118.385912,MerchEngines,-118.385912,0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",40.74804263,-118.385912,2/23/2015 9:25,"Los Angeles, CA",Arizona
97,negative,1,Customer Service Issue,0.6771,Virgin America,-118.385912,ColorCartel,-118.385912,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,40.74804263,-118.385912,2/23/2015 9:18,"Austin, TX",Mountain Time (US & Canada)
98,negative,1,Can't Tell,0.659,Virgin America,-118.385912,MustBeSpoken,-118.385912,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,40.74804263,-118.385912,2/23/2015 9:11,-118.385912,-118.385912
99,negative,1,Flight Booking Problems,0.6714,Virgin America,-118.385912,mattbunk,-118.385912,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,40.74804263,-118.385912,2/23/2015 8:29,"Sterling Heights, MI",Eastern Time (US & Canada)
100,negative,1,Customer Service Issue,1,Virgin America,-118.385912,louisjenny,-118.385912,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,40.74804263,-118.385912,2/23/2015 8:19,Washington DC,Quito
101,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,STravelsW,-118.385912,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,40.74804263,-118.385912,2/23/2015 8:19,"Manhattan Beach, CA",-118.385912
102,negative,1,Late Flight,0.6882,Virgin America,-118.385912,GunsNDip,-118.385912,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,40.74804263,-118.385912,2/23/2015 8:11,-118.385912,Pacific Time (US & Canada)
103,neutral,1,-118.385912,-118.385912,Virgin America,-118.385912,joeyrenagade,-118.385912,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,40.74804263,-118.385912,2/23/2015 8:08,Greater Los Angeles,-118.385912
104,negative,0.6925,Late Flight,0.3521,Virgin America,-118.385912,mrmichaellay,-118.385912,0,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,0,0,2/23/2015 8:08,Floridian from Cincinnati ,Eastern Time (US & Canada)
105,negative,1,Late Flight,0.3486,Virgin America,-118.385912,GunsNDip,-118.385912,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,40.74804263,-118.385912,2/23/2015 7:51,-118.385912,Pacific Time (US & Canada)
